sample_id	sample_name	treatment_group	time_point_day	animal_number	number_reads_orig	number_reads_filter	time_point_day_str	treatment_group_time_point_day
1T0	210616Chi_D21-6001	spTEM1	0	1	4424907	4247547	day0	spTEM1-day0
2T0	210616Chi_D21-6002	spTEM1	0	2	5257960	4649679	day0	spTEM1-day0
3T0	210616Chi_D21-6003	spTEM1	0	3	3733183	3279581	day0	spTEM1-day0
4T0	210616Chi_D21-6004	spTEM1	0	4	0	0	day0	spTEM1-day0
5T0	210616Chi_D21-6005	spTEM1	0	5	4124365	3893487	day0	spTEM1-day0
6T0	210616Chi_D21-6006	spTEM1	0	6	4754487	4508686	day0	spTEM1-day0
7T0	210616Chi_D21-6007	spTEM1	0	7	5096763	4920597	day0	spTEM1-day0
8T0	210616Chi_D21-6008	spTEM1	0	8	4722259	4514524	day0	spTEM1-day0
9T0	210616Chi_D21-6009	spTEM1	0	9	4030071	3435445	day0	spTEM1-day0
10T0	210616Chi_D21-6010	spTEM1	0	10	3845192	3534985	day0	spTEM1-day0
11T0	210616Chi_D21-6011	WT	0	11	4778808	4592135	day0	WT-day0
12T0	210616Chi_D21-6012	WT	0	12	4450756	4297838	day0	WT-day0
13T0	210616Chi_D21-6013	WT	0	13	4915536	4741414	day0	WT-day0
14T0	210616Chi_D21-6014	WT	0	14	6045767	5410351	day0	WT-day0
15T0	210616Chi_D21-6015	WT	0	15	5556666	5057723	day0	WT-day0
16T0	210616Chi_D21-6016	WT	0	16	3967877	3823740	day0	WT-day0
17T0	210616Chi_D21-6017	WT	0	17	3912247	3705359	day0	WT-day0
18T0	210616Chi_D21-6018	WT	0	18	4324762	4070060	day0	WT-day0
19T0	210616Chi_D21-6019	WT	0	19	4918857	4417358	day0	WT-day0
20T0	210616Chi_D21-6020	WT	0	20	5675280	5351912	day0	WT-day0
1T1	210616Chi_D21-6021	spTEM1	1	1	4859252	4594185	day1	spTEM1-day1
2T1	210616Chi_D21-6022	spTEM1	1	2	4155659	3891283	day1	spTEM1-day1
3T1	210616Chi_D21-6023	spTEM1	1	3	4312446	3763981	day1	spTEM1-day1
4T1	210616Chi_D21-6024	spTEM1	1	4	4125480	3905368	day1	spTEM1-day1
5T1	210616Chi_D21-6025	spTEM1	1	5	5290330	4880792	day1	spTEM1-day1
6T1	210616Chi_D21-6026	spTEM1	1	6	5209353	4528284	day1	spTEM1-day1
7T1	210616Chi_D21-6027	spTEM1	1	7	7786960	6972689	day1	spTEM1-day1
8T1	210616Chi_D21-6028	spTEM1	1	8	4533235	4277779	day1	spTEM1-day1
9T1	210616Chi_D21-6029	spTEM1	1	9	3953737	3775923	day1	spTEM1-day1
10T1	210616Chi_D21-6030	spTEM1	1	10	5043175	4713969	day1	spTEM1-day1
11T1	210616Chi_D21-6031	WT	1	11	5272795	4787281	day1	WT-day1
12T1	210616Chi_D21-6032	WT	1	12	4234747	3789990	day1	WT-day1
13T1	210616Chi_D21-6033	WT	1	13	8590046	7506728	day1	WT-day1
14T1	210616Chi_D21-6034	WT	1	14	5613357	5064613	day1	WT-day1
15T1	210616Chi_D21-6035	WT	1	15	10992611	10212688	day1	WT-day1
16T1	210616Chi_D21-6036	WT	1	16	5757210	5050456	day1	WT-day1
17T1	210616Chi_D21-6037	WT	1	17	8100120	7759249	day1	WT-day1
18T1	210616Chi_D21-6038	WT	1	18	8943063	8336544	day1	WT-day1
19T1	210616Chi_D21-6039	WT	1	19	7903535	7344105	day1	WT-day1
20T1	210616Chi_D21-6040	WT	1	20	4793969	4424519	day1	WT-day1
1T2	210616Chi_D21-6041	spTEM1	2	1	6251233	5792667	day2	spTEM1-day2
2T2	210616Chi_D21-6042	spTEM1	2	2	4810242	4587378	day2	spTEM1-day2
3T2	210616Chi_D21-6043	spTEM1	2	3	6111583	5618356	day2	spTEM1-day2
4T2	210616Chi_D21-6044	spTEM1	2	4	5485254	5130664	day2	spTEM1-day2
5T2	210616Chi_D21-6045	spTEM1	2	5	5421625	5099485	day2	spTEM1-day2
6T2	210616Chi_D21-6046	spTEM1	2	6	5172253	4666540	day2	spTEM1-day2
7T2	210616Chi_D21-6047	spTEM1	2	7	5463415	4515192	day2	spTEM1-day2
8T2	210616Chi_D21-6048	spTEM1	2	8	5731711	5469095	day2	spTEM1-day2
9T2	210616Chi_D21-6049	spTEM1	2	9	10892474	10370995	day2	spTEM1-day2
10T2	210616Chi_D21-6050	spTEM1	2	10	8717591	8381591	day2	spTEM1-day2
11T2	210616Chi_D21-6051	WT	2	11	10471195	9962945	day2	WT-day2
12T2	210616Chi_D21-6052	WT	2	12	10044577	9548825	day2	WT-day2
13T2	210616Chi_D21-6053	WT	2	13	9842967	9529380	day2	WT-day2
14T2	210616Chi_D21-6054	WT	2	14	10346366	9994032	day2	WT-day2
15T2	210616Chi_D21-6055	WT	2	15	10754121	10263156	day2	WT-day2
16T2	210616Chi_D21-6056	WT	2	16	9523163	8092180	day2	WT-day2
17T2	210616Chi_D21-6057	WT	2	17	4544805	4349297	day2	WT-day2
18T2	210616Chi_D21-6058	WT	2	18	4612712	4406738	day2	WT-day2
19T2	210616Chi_D21-6059	WT	2	19	4934430	4744616	day2	WT-day2
20T2	210616Chi_D21-6060	WT	2	20	3827091	3657571	day2	WT-day2
1T3	210616Chi_D21-6061	spTEM1	3	1	3968218	3718906	day3	spTEM1-day3
2T3	210616Chi_D21-6062	spTEM1	3	2	5089404	4134889	day3	spTEM1-day3
4T3	210616Chi_D21-6063	spTEM1	3	4	3320243	2626916	day3	spTEM1-day3
